URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,4,0,0.9999997500000625,0.0377358487006052,17.666666666666668,0.39622641509433965,7.225157232704404,17.666666666666668,42,106,2.2641509433962264,1,7.254716981132075
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,9,7,0.12499999218750048,0.04456824500120266,9.972222222222221,0.31197771587743733,4.113679975239864,9.972222222222221,112,359,2.1727019498607243,13,6.813370473537605
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,11,2,0.6923076390532585,0.09285714219387756,17.5,0.3,7.120000000000001,17.5,42,140,2.1714285714285713,1,6.857142857142857
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,10,0.3939393820018369,0.09166666641203704,13.333333333333334,0.49444444444444446,5.531111111111112,13.333333333333334,178,360,2.575,6,7.855555555555555
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,2,0,0.99999950000025,0.015999999872,9.615384615384615,0.384,3.999753846153846,9.615384615384615,48,125,2.36,1,7.176
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,4,0,0.9999997500000625,0.0377358487006052,17.666666666666668,0.39622641509433965,7.225157232704404,17.666666666666668,42,106,2.2641509433962264,1,7.254716981132075
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,9,7,0.12499999218750048,0.04456824500120266,9.972222222222221,0.31197771587743733,4.113679975239864,9.972222222222221,112,359,2.1727019498607243,13,6.813370473537605
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,11,2,0.6923076390532585,0.09285714219387756,17.5,0.3,7.120000000000001,17.5,42,140,2.1714285714285713,1,6.857142857142857
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,10,0.3939393820018369,0.09166666641203704,13.333333333333334,0.49444444444444446,5.531111111111112,13.333333333333334,178,360,2.575,6,7.855555555555555
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,56,21,0.4545454486422669,0.07396733902596797,10.515151515151516,0.4755043227665706,4.3962623351672345,10.515151515151516,495,1041,2.5542747358309317,1,7.787704130643612
